"","country","continent","year","lifeExp","pop","gdpPercap","incr_lifeexp"
"39","Botswana","Africa",1977,59.319,781472,3214.857818,11.697
"40","Botswana","Africa",1987,63.622,1151184,6205.88385,16
"41","Botswana","Africa",1997,52.556,1536536,8647.142313,4.934
"42","Botswana","Africa",2007,50.728,1639131,12569.85177,3.106
"43","Burkina Faso","Africa",1957,34.906,4713416,617.1834648,2.931
"44","Burkina Faso","Africa",1967,40.697,5127935,794.8265597,8.722
"45","Burkina Faso","Africa",1977,46.137,5889574,743.3870368,14.162
"46","Burkina Faso","Africa",1987,49.557,7586551,912.0631417,17.582
"47","Burkina Faso","Africa",1997,50.324,10352843,946.2949618,18.349
"48","Burkina Faso","Africa",2007,52.295,14326203,1217.032994,20.32
"49","Burundi","Africa",1957,40.533,2667518,379.5646281,1.502
"50","Burundi","Africa",1967,43.548,3330989,412.9775136,4.517
"51","Burundi","Africa",1977,45.91,3834415,556.1032651,6.879
"52","Burundi","Africa",1987,48.211,5126023,621.8188189,9.18
"53","Burundi","Africa",1997,45.326,6121610,463.1151478,6.295
"54","Burundi","Africa",2007,49.58,8390505,430.0706916,10.549
"55","Cambodia","Asia",1952,39.417,4693836,368.4692856,0
"56","Cambodia","Asia",1962,43.415,6083619,496.9136476,3.998
"57","Cambodia","Asia",1972,40.317,7450606,421.6240257,0.899999999999999
"58","Cambodia","Asia",1982,50.957,7272485,624.4754784,11.54
"59","Cambodia","Asia",1992,55.803,10150094,682.3031755,16.386
"60","Cambodia","Asia",2002,56.752,12926707,896.2260153,17.335
"61","Cameroon","Africa",1957,40.428,5359923,1313.048099,1.90499999999999
"62","Cameroon","Africa",1967,44.799,6335506,1508.453148,6.276
"63","Cameroon","Africa",1977,49.355,7959865,1783.432873,10.832
"64","Cameroon","Africa",1987,54.985,10780667,2602.664206,16.462
"65","Cameroon","Africa",1997,52.199,14195809,1694.337469,13.676
"66","Cameroon","Africa",2007,50.43,17696293,2042.09524,11.907
"67","Central African Republic","Africa",1957,37.464,1392284,1190.844328,2.001
"68","Central African Republic","Africa",1967,41.478,1733638,1136.056615,6.015
"69","Central African Republic","Africa",1977,46.775,2167533,1109.374338,11.312
"70","Central African Republic","Africa",1987,50.485,2840009,844.8763504,15.022
"71","Central African Republic","Africa",1997,46.066,3696513,740.5063317,10.603
"72","Central African Republic","Africa",2007,44.741,4369038,706.016537,9.278
"73","Chad","Africa",1957,39.881,2894855,1308.495577,1.789
"74","Chad","Africa",1967,43.601,3495967,1196.810565,5.509
"75","Chad","Africa",1977,47.383,4388260,1133.98495,9.291
"76","Chad","Africa",1987,51.051,5498955,952.386129,12.959
"77","Chad","Africa",1997,51.573,7562011,1004.961353,13.481
"78","Chad","Africa",2007,50.651,10238807,1704.063724,12.559
"79","China","Asia",1952,44,556263527,400.448611,0
"80","China","Asia",1962,44.50136,665770000,487.6740183,0.501359999999998
"81","China","Asia",1972,63.11888,862030000,676.9000921,19.11888
"82","China","Asia",1982,65.525,1000281000,962.4213805,21.525
"83","China","Asia",1992,68.69,1164970000,1655.784158,24.69
"84","China","Asia",2002,72.028,1280400000,3119.280896,28.028
"85","Comoros","Africa",1957,42.46,170928,1211.148548,1.745
"86","Comoros","Africa",1967,46.472,217378,1876.029643,5.757
"87","Comoros","Africa",1977,50.939,304739,1172.603047,10.224
"88","Comoros","Africa",1987,54.926,395114,1315.980812,14.211
"89","Comoros","Africa",1997,60.66,527982,1173.618235,19.945
"90","Comoros","Africa",2007,65.152,710960,986.1478792,24.437
"91","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,1.509
"92","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,4.913
"93","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,8.661
"94","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,8.269
"95","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,3.444
"96","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,7.319
"97","Congo, Rep.","Africa",1957,45.053,940458,2315.056572,2.942
"98","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,9.929
"99","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,13.514
"100","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,15.359
"101","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,10.851
"102","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,13.211
"103","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,1.992
"104","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473,6.873
"105","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,11.897
"106","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,14.178
"107","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,7.514
"108","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,7.85100000000001
"109","Djibouti","Africa",1957,37.328,71851,2864.969076,2.51600000000001
"110","Djibouti","Africa",1967,42.074,127617,3020.050513,7.262
"111","Djibouti","Africa",1977,46.519,228694,3081.761022,11.707
"112","Djibouti","Africa",1987,50.04,311025,2880.102568,15.228
"113","Djibouti","Africa",1997,53.157,417908,1895.016984,18.345
"114","Djibouti","Africa",2007,54.791,496374,2082.481567,19.979
"115","Egypt","Africa",1957,44.444,25009741,1458.915272,2.551
"116","Egypt","Africa",1967,49.293,31681188,1814.880728,7.4
"117","Egypt","Africa",1977,53.319,38783863,2785.493582,11.426
"118","Egypt","Africa",1987,59.797,52799062,3885.46071,17.904
"119","Egypt","Africa",1997,67.217,66134291,4173.181797,25.324
"120","Egypt","Africa",2007,71.338,80264543,5581.180998,29.445
"121","Equatorial Guinea","Africa",1957,35.983,232922,426.0964081,1.501
"122","Equatorial Guinea","Africa",1967,38.987,259864,915.5960025,4.505
"123","Equatorial Guinea","Africa",1977,42.024,192675,958.5668124,7.542
"124","Equatorial Guinea","Africa",1987,45.664,341244,966.8968149,11.182
"125","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755,13.763
"126","Equatorial Guinea","Africa",2007,51.579,551201,12154.08975,17.097
"127","Eritrea","Africa",1957,38.047,1542611,344.1618859,2.119
"128","Eritrea","Africa",1967,42.189,1820319,468.7949699,6.261
"129","Eritrea","Africa",1977,44.535,2512642,505.7538077,8.607
"130","Eritrea","Africa",1987,46.453,2915959,521.1341333,10.525
"131","Eritrea","Africa",1997,53.378,4058319,913.47079,17.45
"132","Eritrea","Africa",2007,58.04,4906585,641.3695236,22.112
"133","Ethiopia","Africa",1957,36.667,22815614,378.9041632,2.589
"134","Ethiopia","Africa",1967,42.115,27860297,516.1186438,8.037
"135","Ethiopia","Africa",1977,44.51,34617799,556.8083834,10.432
"136","Ethiopia","Africa",1987,46.684,42999530,573.7413142,12.606
"137","Ethiopia","Africa",1997,49.402,59861301,515.8894013,15.324
"138","Ethiopia","Africa",2007,52.947,76511887,690.8055759,18.869
"139","Gabon","Africa",1957,38.999,434904,4976.198099,1.996
"140","Gabon","Africa",1967,44.598,489004,8358.761987,7.595
"141","Gabon","Africa",1977,52.79,706367,21745.57328,15.787
"142","Gabon","Africa",1987,60.19,880397,11864.40844,23.187
"143","Gabon","Africa",1997,60.461,1126189,14722.84188,23.458
"144","Gabon","Africa",2007,56.735,1454867,13206.48452,19.732
"145","Gambia","Africa",1957,32.065,323150,520.9267111,2.065
"146","Gambia","Africa",1967,35.857,439593,734.7829124,5.857
"147","Gambia","Africa",1977,41.842,608274,884.7552507,11.842
"148","Gambia","Africa",1987,49.265,848406,611.6588611,19.265
"149","Gambia","Africa",1997,55.861,1235767,653.7301704,25.861
"150","Gambia","Africa",2007,59.448,1688359,752.7497265,29.448
"151","Ghana","Africa",1957,44.779,6391288,1043.561537,1.63
"152","Ghana","Africa",1967,48.072,8490213,1125.69716,4.923
"153","Ghana","Africa",1977,51.756,10538093,993.2239571,8.607
"154","Ghana","Africa",1987,55.729,14168101,847.0061135,12.58
"155","Ghana","Africa",1997,58.556,18418288,1005.245812,15.407
"156","Ghana","Africa",2007,60.022,22873338,1327.60891,16.873
"157","Guinea","Africa",1957,34.558,2876726,576.2670245,0.948999999999998
"158","Guinea","Africa",1967,37.197,3451418,708.7595409,3.588
"159","Guinea","Africa",1977,40.762,4227026,874.6858643,7.153
"160","Guinea","Africa",1987,45.552,5650262,805.5724718,11.943
"161","Guinea","Africa",1997,51.455,8048834,869.4497668,17.846
"162","Guinea","Africa",2007,56.007,9947814,942.6542111,22.398
"163","Guinea-Bissau","Africa",1957,33.489,601095,431.7904566,0.988999999999997
"164","Guinea-Bissau","Africa",1967,35.492,601287,715.5806402,2.992
"165","Guinea-Bissau","Africa",1977,37.465,745228,764.7259628,4.965
"166","Guinea-Bissau","Africa",1987,41.245,927524,736.4153921,8.745
"167","Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681,12.373
"168","Guinea-Bissau","Africa",2007,46.388,1472041,579.231743,13.888
"169","Hong Kong, China","Asia",1952,60.96,2125900,3054.421209,0
"170","Hong Kong, China","Asia",1962,67.65,3305200,4692.648272,6.69
"171","Hong Kong, China","Asia",1972,72,4115700,8315.928145,11.04
"172","Hong Kong, China","Asia",1982,75.45,5264500,14560.53051,14.49
"173","Hong Kong, China","Asia",1992,77.601,5829696,24757.60301,16.641
"174","Hong Kong, China","Asia",2002,81.495,6762476,30209.01516,20.535
"175","India","Asia",1952,37.373,372000000,546.5657493,0
"176","India","Asia",1962,43.605,454000000,658.3471509,6.232
"177","India","Asia",1972,50.651,567000000,724.032527,13.278
"178","India","Asia",1982,56.596,708000000,855.7235377,19.223
"179","India","Asia",1992,60.223,872000000,1164.406809,22.85
"180","India","Asia",2002,62.879,1034172547,1746.769454,25.506
"181","Indonesia","Asia",1952,37.468,82052000,749.6816546,0
"182","Indonesia","Asia",1962,42.518,99028000,849.2897701,5.05
"183","Indonesia","Asia",1972,49.203,121282000,1111.107907,11.735
"184","Indonesia","Asia",1982,56.159,153343000,1516.872988,18.691
"185","Indonesia","Asia",1992,62.681,184816000,2383.140898,25.213
"186","Indonesia","Asia",2002,68.588,211060000,2873.91287,31.12
"187","Iran","Asia",1952,44.869,17272000,3035.326002,0
"188","Iran","Asia",1962,49.325,22874000,4187.329802,4.456
"189","Iran","Asia",1972,55.234,30614000,9613.818607,10.365
"190","Iran","Asia",1982,59.62,43072751,7608.334602,14.751
"191","Iran","Asia",1992,65.742,60397973,7235.653188,20.873
"192","Iran","Asia",2002,69.451,66907826,9240.761975,24.582
"193","Iraq","Asia",1952,45.32,5441766,4129.766056,0
"194","Iraq","Asia",1962,51.457,7240260,8341.737815,6.137
"195","Iraq","Asia",1972,56.95,10061506,9576.037596,11.63
"196","Iraq","Asia",1982,62.038,14173318,14517.90711,16.718
"197","Iraq","Asia",1992,59.461,17861905,3745.640687,14.141
"198","Iraq","Asia",2002,57.046,24001816,4390.717312,11.726
"199","Israel","Asia",1952,65.39,1620914,4086.522128,0
"200","Israel","Asia",1962,69.39,2310904,7105.630706,4
"201","Israel","Asia",1972,71.63,3095893,12786.93223,6.23999999999999
"202","Israel","Asia",1982,74.45,3858421,15367.0292,9.06
"203","Israel","Asia",1992,76.93,4936550,18051.52254,11.54
"204","Israel","Asia",2002,79.696,6029529,21905.59514,14.306
"205","Japan","Asia",1952,63.03,86459025,3216.956347,0
"206","Japan","Asia",1962,68.73,95831757,6576.649461,5.7
"207","Japan","Asia",1972,73.42,107188273,14778.78636,10.39
"208","Japan","Asia",1982,77.11,118454974,19384.10571,14.08
"209","Japan","Asia",1992,79.36,124329269,26824.89511,16.33
"210","Japan","Asia",2002,82,127065841,28604.5919,18.97
"211","Jordan","Asia",1952,43.158,607914,1546.907807,0
"212","Jordan","Asia",1962,48.126,933559,2348.009158,4.968
"213","Jordan","Asia",1972,56.528,1613551,2110.856309,13.37
"214","Jordan","Asia",1982,63.739,2347031,4161.415959,20.581
"215","Jordan","Asia",1992,68.015,3867409,3431.593647,24.857
"216","Jordan","Asia",2002,71.263,5307470,3844.917194,28.105
"217","Kenya","Africa",1957,44.686,7454779,944.4383152,2.416
"218","Kenya","Africa",1967,50.654,10191512,1056.736457,8.384
"219","Kenya","Africa",1977,56.155,14500404,1267.613204,13.885
"220","Kenya","Africa",1987,59.339,21198082,1361.936856,17.069
"221","Kenya","Africa",1997,54.407,28263827,1360.485021,12.137
"222","Kenya","Africa",2007,54.11,35610177,1463.249282,11.84
"223","Korea, Dem. Rep.","Asia",1952,50.056,8865488,1088.277758,0
"224","Korea, Dem. Rep.","Asia",1962,56.656,10917494,1621.693598,6.6
"225","Korea, Dem. Rep.","Asia",1972,63.983,14781241,3701.621503,13.927
"226","Korea, Dem. Rep.","Asia",1982,69.1,17647518,4106.525293,19.044
"227","Korea, Dem. Rep.","Asia",1992,69.978,20711375,3726.063507,19.922
"228","Korea, Dem. Rep.","Asia",2002,66.662,22215365,1646.758151,16.606
"229","Korea, Rep.","Asia",1952,47.453,20947571,1030.592226,0
"230","Korea, Rep.","Asia",1962,55.292,26420307,1536.344387,7.839
"231","Korea, Rep.","Asia",1972,62.612,33505000,3030.87665,15.159
"232","Korea, Rep.","Asia",1982,67.123,39326000,5622.942464,19.67
"233","Korea, Rep.","Asia",1992,72.244,43805450,12104.27872,24.791
"234","Korea, Rep.","Asia",2002,77.045,47969150,19233.98818,29.592
"235","Kuwait","Asia",1952,55.565,160000,108382.3529,0
"236","Kuwait","Asia",1962,60.47,358266,95458.11176,4.905
"237","Kuwait","Asia",1972,67.712,841934,109347.867,12.147
"238","Kuwait","Asia",1982,71.309,1497494,31354.03573,15.744
"239","Kuwait","Asia",1992,75.19,1418095,34932.91959,19.625
"240","Kuwait","Asia",2002,76.904,2111561,35110.10566,21.339
"241","Lebanon","Asia",1952,55.928,1439529,4834.804067,0
"242","Lebanon","Asia",1962,62.094,1886848,5714.560611,6.166
"243","Lebanon","Asia",1972,65.421,2680018,7486.384341,9.49300000000001
"244","Lebanon","Asia",1982,66.983,3086876,7640.519521,11.055
"245","Lebanon","Asia",1992,69.292,3219994,6890.806854,13.364
"246","Lebanon","Asia",2002,71.028,3677780,9313.93883,15.1
"247","Lesotho","Africa",1957,45.047,813338,335.9971151,2.909
"248","Lesotho","Africa",1967,48.492,996380,498.6390265,6.354
"249","Lesotho","Africa",1977,52.208,1251524,745.3695408,10.07
"250","Lesotho","Africa",1987,57.18,1599200,773.9932141,15.042
"251","Lesotho","Africa",1997,55.558,1982823,1186.147994,13.42
"252","Lesotho","Africa",2007,42.592,2012649,1569.331442,0.454000000000001
"253","Liberia","Africa",1957,39.486,975950,620.9699901,1.006
"254","Liberia","Africa",1967,41.536,1279406,713.6036483,3.056
"255","Liberia","Africa",1977,43.764,1703617,640.3224383,5.28400000000001
"256","Liberia","Africa",1987,46.027,2269414,506.1138573,7.547
"257","Liberia","Africa",1997,42.221,2200725,609.1739508,3.741
"258","Liberia","Africa",2007,45.678,3193942,414.5073415,7.198
"259","Libya","Africa",1957,45.289,1201578,3448.284395,2.566
"260","Libya","Africa",1967,50.227,1759224,18772.75169,7.504
"261","Libya","Africa",1977,57.442,2721783,21951.21176,14.719
"262","Libya","Africa",1987,66.234,3799845,11770.5898,23.511
"263","Libya","Africa",1997,71.555,4759670,9467.446056,28.832
"264","Libya","Africa",2007,73.952,6036914,12057.49928,31.229
"265","Madagascar","Africa",1957,38.865,5181679,1589.20275,2.184
"266","Madagascar","Africa",1967,42.881,6334556,1634.047282,6.2
"267","Madagascar","Africa",1977,46.881,8007166,1544.228586,10.2
"268","Madagascar","Africa",1987,49.35,10568642,1155.441948,12.669
"269","Madagascar","Africa",1997,54.978,14165114,986.2958956,18.297
"270","Madagascar","Africa",2007,59.443,19167654,1044.770126,22.762
"271","Malawi","Africa",1957,37.207,3221238,416.3698064,0.951000000000001
"272","Malawi","Africa",1967,39.487,4147252,495.5147806,3.231
"273","Malawi","Africa",1977,43.767,5637246,663.2236766,7.511
"274","Malawi","Africa",1987,47.457,7824747,635.5173634,11.201
"275","Malawi","Africa",1997,47.495,10419991,692.2758103,11.239
"276","Malawi","Africa",2007,48.303,13327079,759.3499101,12.047
"277","Malaysia","Asia",1952,48.463,6748378,1831.132894,0
"278","Malaysia","Asia",1962,55.737,8906385,2036.884944,7.274
"279","Malaysia","Asia",1972,63.01,11441462,2849.09478,14.547
"280","Malaysia","Asia",1982,68,14441916,4920.355951,19.537
"281","Malaysia","Asia",1992,70.693,18319502,7277.912802,22.23
"282","Malaysia","Asia",2002,73.044,22662365,10206.97794,24.581
"283","Mali","Africa",1957,35.307,4241884,490.3821867,1.622
"284","Mali","Africa",1967,38.487,5212416,545.0098873,4.802
"285","Mali","Africa",1977,41.714,6491649,686.3952693,8.029
"286","Mali","Africa",1987,46.364,7634008,684.1715576,12.679
"287","Mali","Africa",1997,49.903,9384984,790.2579846,16.218
"288","Mali","Africa",2007,54.467,12031795,1042.581557,20.782
"289","Mauritania","Africa",1957,42.338,1076852,846.1202613,1.795
"290","Mauritania","Africa",1967,46.289,1230542,1421.145193,5.746
"291","Mauritania","Africa",1977,50.852,1456688,1497.492223,10.309
"292","Mauritania","Africa",1987,56.145,1841240,1421.603576,15.602
"293","Mauritania","Africa",1997,60.43,2444741,1483.136136,19.887
"294","Mauritania","Africa",2007,64.164,3270065,1803.151496,23.621
"295","Mauritius","Africa",1957,58.089,609816,2034.037981,7.103
"296","Mauritius","Africa",1967,61.557,789309,2475.387562,10.571
"297","Mauritius","Africa",1977,64.93,913025,3710.982963,13.944
"298","Mauritius","Africa",1987,68.74,1042663,4783.586903,17.754
"299","Mauritius","Africa",1997,70.736,1149818,7425.705295,19.75
"300","Mauritius","Africa",2007,72.801,1250882,10956.99112,21.815
"301","Mongolia","Asia",1952,42.244,800663,786.5668575,0
"302","Mongolia","Asia",1962,48.251,1010280,1056.353958,6.007
"303","Mongolia","Asia",1972,53.754,1320500,1421.741975,11.51
"304","Mongolia","Asia",1982,57.489,1756032,2000.603139,15.245
"305","Mongolia","Asia",1992,61.271,2312802,1785.402016,19.027
"306","Mongolia","Asia",2002,65.033,2674234,2140.739323,22.789
"307","Morocco","Africa",1957,45.423,11406350,1642.002314,2.55
"308","Morocco","Africa",1967,50.335,14770296,1711.04477,7.462
"309","Morocco","Africa",1977,55.73,18396941,2370.619976,12.857
"310","Morocco","Africa",1987,62.677,22987397,2755.046991,19.804
"311","Morocco","Africa",1997,67.66,28529501,2982.101858,24.787
"312","Morocco","Africa",2007,71.164,33757175,3820.17523,28.291
"313","Mozambique","Africa",1957,33.779,7038035,495.5868333,2.493
"314","Mozambique","Africa",1967,38.113,8680909,566.6691539,6.827
"315","Mozambique","Africa",1977,42.495,11127868,502.3197334,11.209
"316","Mozambique","Africa",1987,42.861,12891952,389.8761846,11.575
"317","Mozambique","Africa",1997,46.344,16603334,472.3460771,15.058
"318","Mozambique","Africa",2007,42.082,19951656,823.6856205,10.796
"319","Myanmar","Asia",1952,36.319,20092996,331,0
"320","Myanmar","Asia",1962,45.108,23634436,388,8.78899999999999
"321","Myanmar","Asia",1972,53.07,28466390,357,16.751
"322","Myanmar","Asia",1982,58.056,34680442,424,21.737
"323","Myanmar","Asia",1992,59.32,40546538,347,23.001
"324","Myanmar","Asia",2002,59.908,45598081,611,23.589
"325","Namibia","Africa",1957,45.226,548080,2621.448058,3.501
"326","Namibia","Africa",1967,51.159,706640,3793.694753,9.434
"327","Namibia","Africa",1977,56.437,977026,3876.485958,14.712
"328","Namibia","Africa",1987,60.835,1278184,3693.731337,19.11
"329","Namibia","Africa",1997,58.909,1774766,3899.52426,17.184
"330","Namibia","Africa",2007,52.906,2055080,4811.060429,11.181
"331","Nepal","Asia",1952,36.157,9182536,545.8657229,0
"332","Nepal","Asia",1962,39.393,10332057,652.3968593,3.236
"333","Nepal","Asia",1972,43.971,12412593,674.7881296,7.814
"334","Nepal","Asia",1982,49.594,15796314,718.3730947,13.437
"335","Nepal","Asia",1992,55.727,20326209,897.7403604,19.57
"336","Nepal","Asia",2002,61.34,25873917,1057.206311,25.183
"337","Niger","Africa",1957,38.598,3692184,835.5234025,1.154
"338","Niger","Africa",1967,40.118,4534062,1054.384891,2.674
"339","Niger","Africa",1977,41.291,5682086,808.8970728,3.84699999999999
"340","Niger","Africa",1987,44.555,7332638,668.3000228,7.111
"341","Niger","Africa",1997,51.313,9666252,580.3052092,13.869
"342","Niger","Africa",2007,56.867,12894865,619.6768924,19.423
"343","Nigeria","Africa",1957,37.802,37173340,1100.592563,1.478
"344","Nigeria","Africa",1967,41.04,47287752,1014.514104,4.716
"345","Nigeria","Africa",1977,44.514,62209173,1981.951806,8.19
"346","Nigeria","Africa",1987,46.886,81551520,1385.029563,10.562
"347","Nigeria","Africa",1997,47.464,106207839,1624.941275,11.14
"348","Nigeria","Africa",2007,46.859,135031164,2013.977305,10.535
"349","Oman","Asia",1952,37.578,507833,1828.230307,0
"350","Oman","Asia",1962,43.165,628164,2924.638113,5.587
"351","Oman","Asia",1972,52.143,829050,10618.03855,14.565
"352","Oman","Asia",1982,62.728,1301048,12954.79101,25.15
"353","Oman","Asia",1992,71.197,1915208,18616.70691,33.619
"354","Oman","Asia",2002,74.193,2713462,19774.83687,36.615
"355","Pakistan","Asia",1952,43.436,41346560,684.5971438,0
"356","Pakistan","Asia",1962,47.67,53100671,803.3427418,4.234
"357","Pakistan","Asia",1972,51.929,69325921,1049.938981,8.493
"358","Pakistan","Asia",1982,56.158,91462088,1443.429832,12.722
"359","Pakistan","Asia",1992,60.838,120065004,1971.829464,17.402
"360","Pakistan","Asia",2002,63.61,153403524,2092.712441,20.174
"361","Philippines","Asia",1952,47.752,22438691,1272.880995,0
"362","Philippines","Asia",1962,54.757,30325264,1649.552153,7.005
"363","Philippines","Asia",1972,58.065,40850141,1989.37407,10.313
"364","Philippines","Asia",1982,62.082,53456774,2603.273765,14.33
"365","Philippines","Asia",1992,66.458,67185766,2279.324017,18.706
"366","Philippines","Asia",2002,70.303,82995088,2650.921068,22.551
"367","Reunion","Africa",1957,55.09,308700,2769.451844,2.36600000000001
"368","Reunion","Africa",1967,60.542,414024,4021.175739,7.818
"369","Reunion","Africa",1977,67.064,492095,4319.804067,14.34
"370","Reunion","Africa",1987,71.913,562035,5303.377488,19.189
"371","Reunion","Africa",1997,74.772,684810,6071.941411,22.048
"372","Reunion","Africa",2007,76.442,798094,7670.122558,23.718
"373","Rwanda","Africa",1957,41.5,2822082,540.2893983,1.5
"374","Rwanda","Africa",1967,44.1,3451079,510.9637142,4.1
"375","Rwanda","Africa",1977,45,4657072,670.0806011,5
"376","Rwanda","Africa",1987,44.02,6349365,847.991217,4.02
"377","Rwanda","Africa",1997,36.087,7212583,589.9445051,-3.913
"378","Rwanda","Africa",2007,46.242,8860588,863.0884639,6.242
"379","Sao Tome and Principe","Africa",1957,48.945,61325,860.7369026,2.474
"380","Sao Tome and Principe","Africa",1967,54.425,70787,1384.840593,7.954
"381","Sao Tome and Principe","Africa",1977,58.55,86796,1737.561657,12.079
"382","Sao Tome and Principe","Africa",1987,61.728,110812,1516.525457,15.257
"383","Sao Tome and Principe","Africa",1997,63.306,145608,1339.076036,16.835
"384","Sao Tome and Principe","Africa",2007,65.528,199579,1598.435089,19.057
"385","Saudi Arabia","Asia",1952,39.875,4005677,6459.554823,0
"386","Saudi Arabia","Asia",1962,45.914,4943029,11626.41975,6.039
"387","Saudi Arabia","Asia",1972,53.886,6472756,24837.42865,14.011
"388","Saudi Arabia","Asia",1982,63.012,11254672,33693.17525,23.137
"389","Saudi Arabia","Asia",1992,68.768,16945857,24841.61777,28.893
"390","Saudi Arabia","Asia",2002,71.626,24501530,19014.54118,31.751
"391","Senegal","Africa",1957,39.329,3054547,1567.653006,2.051
"392","Senegal","Africa",1967,43.563,3965841,1612.404632,6.285
"393","Senegal","Africa",1977,48.879,5260855,1561.769116,11.601
"394","Senegal","Africa",1987,55.769,7171347,1441.72072,18.491
"395","Senegal","Africa",1997,60.187,9535314,1392.368347,22.909
"396","Senegal","Africa",2007,63.062,12267493,1712.472136,25.784
"397","Sierra Leone","Africa",1957,31.57,2295678,1004.484437,1.239
"398","Sierra Leone","Africa",1967,34.113,2662190,1206.043465,3.782
"399","Sierra Leone","Africa",1977,36.788,3140897,1348.285159,6.457
"400","Sierra Leone","Africa",1987,40.006,3868905,1294.447788,9.675
"401","Sierra Leone","Africa",1997,39.897,4578212,574.6481576,9.566
"402","Sierra Leone","Africa",2007,42.568,6144562,862.5407561,12.237
"403","Singapore","Asia",1952,60.396,1127000,2315.138227,0
"404","Singapore","Asia",1962,65.798,1750200,3674.735572,5.402
"405","Singapore","Asia",1972,69.521,2152400,8597.756202,9.125
"406","Singapore","Asia",1982,71.76,2651869,15169.16112,11.364
"407","Singapore","Asia",1992,75.788,3235865,24769.8912,15.392
"408","Singapore","Asia",2002,78.77,4197776,36023.1054,18.374
"409","Somalia","Africa",1957,34.977,2780415,1258.147413,1.999
"410","Somalia","Africa",1967,38.977,3428839,1284.73318,5.999
"411","Somalia","Africa",1977,41.974,4353666,1450.992513,8.996
"412","Somalia","Africa",1987,44.501,6921858,1093.244963,11.523
